add,label,id,type,subject,predicate,object,value,known_by,chapter,story_order,scene_time,location,pov,source,evidence,line_start,line_end,confidence,extraction,relation_type,relation_dimension
true,Mara Venn owns Pip.,740f9080-658f-57ea-9247-6ca2ed61a5bb,possession,Mara Venn,owns,Pip,,,1,1,first day of autumn,Veyrfall Academy,Liora Vale,draft scene,That is Pip,93,93,1,gemini:gemini-3.1-flash-lite,,
true,Dorian Mourn's role is veilcraft candidate.,43c49fcb-639f-5862-ba17-f36723bc82df,status,Dorian Mourn,role,,veilcraft candidate,,1,1,first day of autumn,Veyrfall Academy,Liora Vale,draft scene,"Dorian Mourn, veilcraft candidate",95,95,1,gemini:gemini-3.1-flash-lite,,
true,Dorian Mourn's affiliation is House Mourn.,f36d7254-6774-51f8-a020-32d73ae1ff9c,status,Dorian Mourn,affiliation,,House Mourn,,1,1,first day of autumn,Veyrfall Academy,Liora Vale,draft scene,House Mourn,95,95,1,gemini:gemini-3.1-flash-lite,,
true,Dorian Mourn's hair color is silver-blond.,b3bf01b1-857a-52e4-9536-0cb38c8527ac,trait,Dorian Mourn,hair_color,,silver-blond,,1,1,first day of autumn,Veyrfall Academy,Liora Vale,draft scene,silver-blond hair,97,97,1,gemini:gemini-3.1-flash-lite,,
true,Caelan Thorne's role is stormcraft candidate.,b3572a6c-1aa3-5603-9caa-a7a7d591d6c8,status,Caelan Thorne,role,,stormcraft candidate,,1,1,first day of autumn,Veyrfall Academy,Liora Vale,draft scene,"Caelan Thorne, stormcraft candidate",99,99,1,gemini:gemini-3.1-flash-lite,,
true,Seraphine Ardent's role is blade-veil candidate.,d233754b-e8c8-53de-a027-11978fe5c974,status,Seraphine Ardent,role,,blade-veil candidate,,1,1,first day of autumn,Veyrfall Academy,Liora Vale,draft scene,"Seraphine Ardent, blade-veil candidate",103,103,1,gemini:gemini-3.1-flash-lite,,
true,Seraphine Ardent's affiliation is House Ardent.,fedd3ddf-70da-5d4f-a45b-5cd5383d67f0,status,Seraphine Ardent,affiliation,,House Ardent,,1,1,first day of autumn,Veyrfall Academy,Liora Vale,draft scene,House Ardent,103,103,1,gemini:gemini-3.1-flash-lite,,
true,Liora Vale's role is star-reading candidate.,2aeff4b8-6748-55c3-bc02-f96a16207a17,status,Liora Vale,role,,star-reading candidate,,1,1,first day of autumn,Veyrfall Academy,Liora Vale,draft scene,"Liora Vale, star-reading candidate",107,107,1,gemini:gemini-3.1-flash-lite,,
true,Elowen Vale sealed North Observatory.,d5dab2f5-1652-5e22-a4a9-a063eb75b554,event,Elowen Vale,sealed,North Observatory,,,1,1,first day of autumn,Veyrfall Academy,Liora Vale,draft scene,She sealed the North Observatory sixteen years ago,133,133,1,gemini:gemini-3.1-flash-lite,,
true,Elowen Vale vanished.,d325840d-8eba-58de-b1c9-e644d2151a8c,event,Elowen Vale,vanished,,,,1,1,first day of autumn,Veyrfall Academy,Liora Vale,draft scene,vanished,133,133,1,gemini:gemini-3.1-flash-lite,,
true,Liora Vale owns iron key.,cea94a88-138b-5532-821c-3578cef824cd,possession,Liora Vale,owns,iron key,,,1,1,first day of autumn,Veyrfall Academy,Liora Vale,draft scene,He placed an iron key on the table,143,143,1,gemini:gemini-3.1-flash-lite,,
true,World rule: opens.,51f34ee6-2e43-5938-9b3e-501912fb17a9,world_rule,North Observatory,rule,first frost,opens,,1,1,first day of autumn,Veyrfall Academy,Liora Vale,draft scene,The North Observatory opens at first frost,153,153,1,gemini:gemini-3.1-flash-lite,,
true,Liora Vale's affiliation is Veyrfall Academy.,5812f005-dffc-589e-8f69-500bbaa0b171,status,Liora Vale,affiliation,,Veyrfall Academy,,1,1,first day of autumn,Veyrfall Academy,Liora Vale,draft scene,Liora Vale at Veyrfall Academy,,,1,gemini:gemini-3.1-flash-lite,,
true,Headmistress Veyr's role is headmistress.,9174b3a9-9ef1-592c-8bdb-965b91fa6b98,status,Headmistress Veyr,role,,headmistress,,1,1,first day of autumn,Veyrfall Academy,Liora Vale,draft scene,Headmistress Veyr's voice moved through the stone,243,243,1,gemini:gemini-3.1-flash-lite,,
true,Professor Mael's role is professor.,8de2b820-24d2-539c-bf7f-8273e969194d,status,Professor Mael,role,,professor,,1,1,first day of autumn,Veyrfall Academy,Liora Vale,draft scene,Professor Mael opened Practical Dangers,259,259,1,gemini:gemini-3.1-flash-lite,,
true,Pip owns brass wing.,4be4145c-0853-58a1-bf8b-c8771c32882c,possession,Pip,owns,brass wing,,,1,1,first day of autumn,Veyrfall Academy,Liora Vale,draft scene,adjusting Pip's brass wing,251,251,1,gemini:gemini-3.1-flash-lite,,
true,Caelan swore oath keep the sealed star from opening the North Observatory.,69605103-21da-5349-8201-52c663b2b788,event,Caelan,swore_oath,keep the sealed star from opening the North Observatory,,,1,1,first day of autumn,Veyrfall Academy,Liora Vale,draft scene,I swore to keep the sealed star from opening the North Observatory,287,287,1,gemini:gemini-3.1-flash-lite,,
true,World rule: dormitory_walls_bleed_on_founding_anniversaries.,69fb9353-5ebc-5074-98c3-32d3f666f96d,world_rule,Veyrfall Academy,rule,dormitory_walls_bleed_on_founding_anniversaries,,,1,1,first day of autumn,Veyrfall Academy,Liora Vale,draft scene,Dormitory walls bleed only on founding anniversaries,229,231,1,gemini:gemini-3.1-flash-lite,,
true,Elowen Vale's discovery is founding_spell_altered.,30d45532-9052-56d3-9cce-2db8bdc112dc,status,Elowen Vale,discovery,,founding_spell_altered,,1,1,first day of autumn,Veyrfall Academy,Liora Vale,draft scene,Elowen Vale discovered that the founding spell had been altered,335,335,1,gemini:gemini-3.1-flash-lite,,
true,Liora Elain Vale's role is Blade-veil candidate.,9ac4f555-563a-5558-b1f3-5fdf82dc8e75,status,Liora Elain Vale,role,,Blade-veil candidate,,1,1,first day of autumn,Veyrfall Academy,Liora Vale,draft scene missed-line retry,"Blade-veil candidate, assuming the examiners were sober when they counted. Liora Elain Vale",,,1,gemini:gemini-3.1-flash-lite,,
true,Caelan Aer Thorne's role is stormcraft candidate.,b02f08e4-b5c0-541d-9be5-a12bb8f19a59,status,Caelan Aer Thorne,role,,stormcraft candidate,,1,1,first day of autumn,Veyrfall Academy,Liora Vale,draft scene missed-line retry,stormcraft candidate,63,63,1,gemini:gemini-3.1-flash-lite,,
true,Liora Elain Vale is at Bracken Parish.,228fb3a5-aecf-518f-bc75-0083d09d6ebc,location,Liora Elain Vale,origin,Bracken Parish,,,1,1,first day of autumn,Veyrfall Academy,Liora Vale,draft scene missed-line retry,For a heartbeat she was back in the cottage kitchen at Bracken Parish,49,49,1,gemini:gemini-3.1-flash-lite,,
true,Liora Elain Vale owns key.,2c426de5-090c-59cc-b500-d79083f37de4,possession,Liora Elain Vale,owns,key,,,1,1,first day of autumn,Veyrfall Academy,Liora Vale,draft scene missed-line retry,Liora looked at the key on her desk,189,189,1,gemini:gemini-3.1-flash-lite,,
true,Caelan Aer Thorne's eye color is gray.,270b1a91-9caf-5a09-8f07-fe826451ec23,trait,Caelan Aer Thorne,eye_color,,gray,,1,1,first day of autumn,Veyrfall Academy,Liora Vale,draft scene missed-line retry,gray eyes that made Liora think of lightning,67,67,1,gemini:gemini-3.1-flash-lite,,
true,World rule: legal names.,061c8b83-1408-50b2-88e9-a1c6dfc52a7c,world_rule,Tide Gate,rule,legal names,,,1,1,first day of autumn,Veyrfall Academy,Liora Vale,draft scene missed-line retry,it spoke legal names,21,21,1,gemini:gemini-3.1-flash-lite,,
true,World rule: no borrowed identity.,5fe23056-7439-5104-b70d-69530f431072,world_rule,Tide Gate,rule,no borrowed identity,,,1,1,first day of autumn,Veyrfall Academy,Liora Vale,draft scene missed-line retry,admitted no one under a borrowed identity,21,21,1,gemini:gemini-3.1-flash-lite,,
true,World rule: seal after moonrise.,e620fc37-94eb-56c1-918d-5ee7a836f92c,world_rule,Tide Gate,rule,seal after moonrise,,,1,1,first day of autumn,Veyrfall Academy,Liora Vale,draft scene missed-line retry,sealed after moonrise,21,21,1,gemini:gemini-3.1-flash-lite,,
true,Liora Elain Vale is Elowen Vale's mother.,c19614a7-f575-56df-821a-51857f37a18d,relationship,Liora Elain Vale,mother,Elowen Vale,mother,,1,1,first day of autumn,Veyrfall Academy,Liora Vale,draft scene missed-line retry,My mother? ... Elowen Vale,,,1,gemini:gemini-3.1-flash-lite,mother,family
